Agency Name,Longitude,Latitude
Abrigo Del Altisimo,-73.89464,40.847957
Spanish SDA Church,-73.899308,40.824728
Immaculate Conception Church,-73.864486,40.876586
Immaculate Conception Church,-73.864486,40.876586
Ammi Evangelical Baptist Church,-73.94049,40.626281
Fraternite Notre Dame,-73.934417,40.797051
Crossroads Community Services Inc. (Food Pantry),-73.973271,40.757495
Church of the Annunciation,-73.952964,40.816263
Our Lady of Light Food Pantry,-73.763306,40.689994
Creston Avenue Baptist Church,-73.899158,40.861836
St. Mary Star of the Sea,-73.752629,40.600681
Our Lady of Sorrows,-73.982361,40.719497
Trinity Human Service Corp.,-73.944125,40.706597
St. Clement Pope RC Church,-73.799316,40.674957
Abraham House Inc.,-73.921084,40.81127
"Rauschenbusch Metro Ministries, Inc.",-73.994265,40.757309
Siloam Presbyterian Church Food Pantry,-73.947305,40.683471
Stapleton UAME Church,-74.078755,40.623354
Stapleton UAME Church,-74.078755,40.623354
First Presbyterian Church Of Jamaica,-73.796372,40.705892
First Presbyterian Church Of Jamaica,-73.796372,40.705892
Bethany United Methodist Church,-73.938262,40.670737
Little Sisters of the Assumption,-73.936666,40.795765
"Food First, Inc.",-74.013865,40.678216
Catholic Charities Community Services (Kennedy Center),-73.935054,40.850741
J.U.S.T.I.C.E. Organization,-73.761018,40.595116
The Salvation Army Manhattan Citadel,-73.937418,40.804523
The Salvation Army Manhattan Citadel,-73.937418,40.804523
National Council of Jewish Women,-73.983075,40.779392
National Council of Jewish Women,-73.983075,40.779392
CAMBA Food Pantry,-73.957286,40.648674
Project Lead,-73.830913,40.706978
Humanity Service Inc,-73.847931,40.683851
Blessed Virgin Mary St. Mary's Winfield,-73.892792,40.73847
Mt. Carmel Baptist Church,-73.896705,40.830948
Father's Heart Ministries,-73.979852,40.727736
Father's Heart Ministries,-73.979852,40.727736
Northeastern Conference Adventist Community Svcs,-73.869056,40.757121
International Pentecostal Church,-73.935389,40.848406
Christ Apostolic Church Goke Food Pantry,-73.972155,40.638487
Hollis Presbyterian Church,-73.762517,40.708121
"United Yes We Can, Unidos Si Se Puede, Inc.",-73.936445,40.801556
Trinity Wall Street,-74.009058,40.711153
"Housing and Services, Inc",-73.951818,40.804491
Movement of Pentecostal Christian Church,-74.003542,40.682126
Christ Abundant Life Ministries,-74.164949,40.636452
"Vision Urbana, Inc.",-73.988424,40.71734
North Brooklyn Angels,-73.952914,40.716113
St. Cecilia's Parish Services,-73.947326,40.791919
St. John's Bread of Life,-73.993212,40.748903
St. Mark the Evangelist Church,-73.938718,40.815832
St. Clement's Food Pantry,-73.991641,40.761472
St. Mary's Episcopal Church,-73.956152,40.814841
St. Mary's Episcopal Church,-73.956152,40.814841
Corpus Christi Food Pantry,-73.902461,40.756577
Council of Jewish Organizations of Staten Island,-74.133457,40.632318
Christian Pentecostal Church,-74.092306,40.604574
St. Theresa of Avila Community Service,-73.813315,40.683921
Brownsville SDA Temple,-73.9223,40.659865
Hope Line,-73.898533,40.82085
Macedonia Church of Christ,-73.949028,40.687261
First Church of God in Christ,-73.76301,40.690305
Community Impact Soup Kitchen,-73.965838,40.807014
Hollis Avenue Congregational Church,-73.746344,40.708878
Convent Avenue Baptist Church,-73.946117,40.823852
The Salvation Army Jamaica Citadel,-73.798915,40.704826
Hanson Place SDA Community Service,-73.974341,40.684996
Union Baptist Church,-73.924689,40.682574
Give Them To Eat,-73.904362,40.817622
Unity Faith Outreach,-73.922777,40.683955
New Direction Services Inc.,-74.134604,40.633227
New Life SDA Church,-73.910637,40.658684
Shout For Joy Baptist Church,-73.912958,40.824085
Church of God in Christ,-73.918429,40.651659
New Pilgrim Community Baptist Church,-73.944909,40.810966
South Brooklyn SDA Church Community Service,-73.976554,40.679689
True Holy Church of God in Christ Jesus,-73.906747,40.675937
Apostolic Assembly of Jesus Christ,-73.941581,40.651065
Flatbush SDA Church,-73.959354,40.648049
Act of Faith Ministries,-73.94509,40.707645
Bethel AME Church,-73.940837,40.811461
Brooklyn Faith SDA Church,-73.924916,40.652365
Brooklyn Faith SDA Church,-73.924916,40.652365
Spanish Intervale SDA Church,-73.896628,40.825155
Haitian Evangelical Clergy,-73.917966,40.689624
Elmcor Youth & Adult Activities Inc.,-73.861284,40.757637
Allen Outreach Ministry Feeding Program,-73.780664,40.693148
Solid Rock Baptist Church,-73.946406,40.695141
Project Create-Anthony House,-73.951068,40.800584
Cuyler Warren United Methodist Church,-73.977171,40.682216
Beraca SDA Church,-73.768176,40.712022
Greater Unified Free Will Baptist Church,-73.952981,40.674598
Church of St. Paul the Apostle Pantry,-73.985797,40.769754
Church of St. Paul the Apostle,-73.985797,40.769754
Iglesia Pentecostal La Hermosa,-73.878425,40.681991
Shiloh Temple Pentecostal Church,-73.860461,40.886261
Shiloh Temple Pentecostal Church,-73.860461,40.886261
Society of St. Vincent de Paul,-73.939746,40.65303
Crossroads Community Services Inc.,-73.973271,40.757495
